body,phase,phase_timesteps,lineage_timesteps,mean_return,std_return,min_return,max_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_obstacles_cleared,mean_obstacle_fraction,success_rate
Layered body (10 actuators),com_clearance_finetune_v6,35000,75000,5.297937988913013,0.0,5.297937988913013,5.297937988913013,1200.0,1.8278018421607884,0.001523168201800657,2.2778018421607884,2.4493801995176496,1.0,0.14285714285714285,0.0
Layered body (10 actuators),com_clearance_finetune_v6,40000,80000,3.2720499245855255,0.0,3.2720499245855255,3.2720499245855255,1200.0,0.9897227209446807,0.0008247689341205671,1.4397227209446806,1.697597340802865,1.0,0.14285714285714285,0.0
Layered body (10 actuators),com_clearance_finetune_v6,45000,85000,3.134176259277673,0.0,3.134176259277673,3.134176259277673,1200.0,0.5345645418446672,0.00044547045153722265,0.9845645418446672,2.2170067217153413,1.0,0.14285714285714285,0.0
Layered body (10 actuators),com_clearance_finetune_v6,50000,90000,3.1699075440285776,4.440892098500626e-16,3.169907544028578,3.169907544028578,1200.0,0.7570480559783701,0.0006308733799819751,1.20704805597837,2.0904845296794927,1.0,0.14285714285714285,0.0
Layered body (10 actuators),com_clearance_finetune_v6,55000,95000,7.658776154102785,0.0,7.658776154102785,7.658776154102785,1200.0,2.559382458495075,0.0021328187154125624,3.0093824584950752,3.1530524396651463,2.0,0.2857142857142857,0.0
Layered body (10 actuators),com_clearance_finetune_v6,60000,100000,2.1373877380726896,0.0,2.1373877380726896,2.1373877380726896,1200.0,-0.22545940778878695,-0.00018788283982398913,0.22454059221121306,1.5134050533256762,1.0,0.14285714285714285,0.0
Layered body (10 actuators),com_clearance_finetune_v6,65000,105000,0.9728273594029154,1.1102230246251565e-16,0.9728273594029153,0.9728273594029153,1200.0,0.7794834814312148,0.0006495695678593457,1.2294834814312148,1.2294834814312148,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,70000,110000,1.0021891987974325,0.0,1.0021891987974325,1.0021891987974325,1200.0,0.7730728785683021,0.0006442273988069184,1.223072878568302,1.2257564237827745,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,75000,115000,1.2174689583462053,0.0,1.2174689583462053,1.2174689583462053,1200.0,0.8708464196520005,0.0007257053497100003,1.3208464196520004,1.3381570313486713,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,80000,120000,0.9433759786896143,0.0,0.9433759786896143,0.9433759786896143,1200.0,0.7460823326274367,0.0006217352771895307,1.1960823326274368,1.2458760178932409,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,85000,125000,0.9594960710950065,0.0,0.9594960710950065,0.9594960710950065,1200.0,0.7581003341580455,0.0006317502784650379,1.2081003341580454,1.2553048235274644,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,90000,130000,0.9092724758195772,0.0,0.9092724758195772,0.9092724758195772,1200.0,0.723365779399542,0.000602804816166285,1.173365779399542,1.1986898463997873,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,95000,135000,0.8701618414149368,0.0,0.8701618414149368,0.8701618414149368,1200.0,0.692084282061073,0.0005767369017175608,1.1420842820610728,1.1620659479558986,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,100000,140000,0.9692813059266143,0.0,0.9692813059266143,0.9692813059266143,1200.0,0.7727043028372259,0.0006439202523643549,1.2227043028372258,1.241394262473595,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,100352,140352,1.0164462180112044,0.0,1.0164462180112044,1.0164462180112044,1200.0,0.7866340341991668,0.0006555283618326389,1.2366340341991666,1.268358566519268,0.0,0.0,0.0
Original body (4 actuators),movable_training_v5_rechecked,0,0,1.3189211947332327,0.0,1.3189211947332327,1.3189211947332327,1200.0,0.932928157863256,0.0007774401315527133,1.382928157863256,1.4187163995654495,0.0,0.0,0.0
Original body (4 actuators),movable_training_v5_rechecked,5000,5000,3.3830532521484864,0.0,3.3830532521484864,3.3830532521484864,1200.0,1.049769797276109,0.0008748081643967575,1.499769797276109,1.51956814400303,1.0,0.14285714285714285,0.0
Original body (4 actuators),movable_training_v5_rechecked,10000,10000,7.030367268485886,0.0,7.030367268485886,7.030367268485886,1200.0,2.4647517803228687,0.002053959816935724,2.914751780322869,2.9228074247983122,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,15000,15000,7.1432121616867885,0.0,7.1432121616867885,7.1432121616867885,1200.0,2.3260476617794534,0.0019383730514828778,2.7760476617794536,2.7760476617794536,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,20000,20000,4.310539662737985,0.0,4.310539662737985,4.310539662737985,1200.0,1.833773489468934,0.001528144574557445,2.283773489468934,2.2935500991885838,1.0,0.14285714285714285,0.0
Original body (4 actuators),movable_training_v5_rechecked,25000,25000,7.9426685410759905,0.0,7.9426685410759905,7.9426685410759905,1200.0,2.893247012082327,0.0024110391767352725,3.343247012082327,3.343247012082327,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,30000,30000,7.72400368056701,0.0,7.72400368056701,7.72400368056701,1200.0,2.827144784365995,0.0023559539869716624,3.277144784365995,3.277144784365995,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,35000,35000,10.540456364774233,0.0,10.540456364774233,10.540456364774233,1200.0,3.3709207736637303,0.002809100644719775,3.8209207736637305,3.8209207736637305,3.0,0.42857142857142855,0.0
Original body (4 actuators),movable_training_v5_rechecked,40000,40000,8.40608103091789,0.0,8.40608103091789,8.40608103091789,1200.0,3.1554834976649193,0.0026295695813874326,3.6054834976649195,3.6054834976649195,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,45000,45000,8.233560485847834,0.0,8.233560485847834,8.233560485847834,1200.0,3.2552426171174,0.0027127021809311663,3.7052426171174,3.7443556576914454,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,50000,50000,8.177568935079984,0.0,8.177568935079984,8.177568935079984,1200.0,2.950367311664175,0.0024586394263868125,3.400367311664175,3.400367311664175,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,55000,55000,8.18555213740199,0.0,8.18555213740199,8.18555213740199,1200.0,3.0635959096905108,0.002552996591408759,3.513595909690511,3.513595909690511,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,60000,60000,7.192980544783085,0.0,7.192980544783085,7.192980544783085,1200.0,2.5615917663558587,0.0021346598052965488,3.011591766355859,3.0213081419789214,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,65000,65000,1.2584020880390043,0.0,1.2584020880390043,1.2584020880390043,1200.0,0.8865458999754259,0.0007387882499795216,1.3365458999754258,1.3417642596865897,0.0,0.0,0.0
Original body (4 actuators),movable_training_v5_rechecked,70000,70000,3.48273333739684,0.0,3.48273333739684,3.48273333739684,1200.0,1.0548250188140087,0.0008790208490116739,1.5048250188140087,1.5111013463681995,1.0,0.14285714285714285,0.0
Original body (4 actuators),movable_training_v5_rechecked,75000,75000,3.8597412096820642,0.0,3.8597412096820642,3.8597412096820642,1200.0,1.4930673773647178,0.0012442228144705983,1.9430673773647178,1.949667599160486,1.0,0.14285714285714285,0.0
